施設、場所、イベントの名称,施設、場所、イベントの名称（読み）,ジャンル,キャッチコピー,説明文,経度（世界測地系）,緯度（世界測地系）,郵便番号,住所,ビル名,フロア数,電話番号,FAX番号,アクセス,予算,定員、収容人数,定員、収容人数コメント,取扱商品、メニュー、プラン,取扱商品、メニュー、プラン 料金,取扱商品、メニュー、プラン 写真ファイル名,取扱商品、メニュー、プラン 写真キャプション,写真ファイル名,写真キャプション,ホームページURL（PC）,ホームページURL（モバイル）,支払方法,ペット同伴の可・不可,コピーライト・情報提供元,注意事項,その他説明、備考
千葉市 緑町公園,ミドリチョウコウエン,,,,140.09914,35.624644,,千葉市稲毛区緑町１丁目１７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 長沼町北公園,ナガヌマチョウキタコウエン,,,,140.121912,35.660779,,千葉市稲毛区長沼町１２４－８９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 萩台北公園,ハギダイキタコウエン,,,,140.122742,35.647558,,千葉市稲毛区萩台町６６４－８７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮野木北第１公園,ミヤノギキタダイ１コウエン,,,,140.106774,35.658177,,千葉市稲毛区宮野木町１８０９－５１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 中園第３公園,ナカゾノダイ３コウエン,,,,140.101101,35.642753,,千葉市稲毛区園生町１２２３－９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 黒砂台公園,クロスナダイコウエン,,,,140.100698,35.633073,,千葉市稲毛区黒砂台３丁目７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 細田公園,ホソダコウエン,,,,140.089024,35.648314,,千葉市稲毛区小仲台８丁目１２他,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮原公園,ミヤハラコウエン,,,,140.097266,35.652229,,千葉市稲毛区宮野木町８３５－１１９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 長沼第４公園,ナガヌマダイ４コウエン,,,,140.114954,35.656058,,千葉市稲毛区長沼町２５１－１１０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 中小深公園,ナカコブケコウエン,,,,140.150859,35.661603,,千葉市稲毛区小深町２７３－９１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生第５公園,ソンノウダイ５コウエン,,,,140.12876,35.653219,,千葉市稲毛区園生町１４１２－２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 いなげの丘公園,イナゲノオカコウエン,,,,140.09045,35.648229,,千葉市稲毛区小中台町５９６－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 京町公園,キョウマチコウエン,,,,140.110142,35.65789,,千葉市稲毛区長沼町１６７－１２２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 丸子山公園,マルコヤマコウエン,,,,140.087426,35.631287,,千葉市稲毛区稲丘町１７－９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小谷公園,コタニコウエン,,,,140.092172,35.643473,,千葉市稲毛区小仲台７丁目２２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 定原公園,ジョウハラコウエン,,,,140.101192,35.65736,,千葉市稲毛区宮野木町１２８６－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 立野公園,タテノコウエン,,,,140.12354,35.632969,,千葉市稲毛区作草部町１２７３－４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 黒砂２丁目公園,クロスナ２チョウメコウエン,,,,140.090859,35.627085,,千葉市稲毛区黒砂２丁目３２５－１０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小深第１公園,コブケダイ１コウエン,,,,140.150314,35.668099,,千葉市稲毛区小深町５８２－１７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 作草部台公園,サクサベダイコウエン,,,,140.116289,35.629088,,千葉市稲毛区作草部１丁目９０７－３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小仲台公園,コナカダイコウエン,,,,140.098637,35.637812,,千葉市稲毛区小仲台３丁目１１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 黒砂台西公園,クロスナダイニシコウエン,,,,140.09909,35.633049,,千葉市稲毛区黒砂台３丁目４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 山王しののめ公園,サンノウシノノメコウエン,,,,140.146306,35.665687,,千葉市稲毛区山王町１８－２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 あらく第２公園,アラクダイ２コウエン,,,,140.116148,35.661205,,千葉市稲毛区長沼町１５０－１０８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 はなえの公園,ハナエノコウエン,,,,140.077775,35.639243,,千葉市稲毛区稲毛町５丁目６０－９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮野木北第２公園,ミヤノギキタダイ２コウエン,,,,140.106293,35.660598,,千葉市稲毛区宮野木町１８３２－３５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 長沼第３公園,ナガヌマダイ３コウエン,,,,140.108206,35.65376,,千葉市稲毛区長沼町２６３－５２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 六方児童公園,ロッポウジドウコウエン,,,,140.14588,35.657421,,千葉市稲毛区六方町５８－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 あけぼの公園,アケボノコウエン,,,,140.129724,35.676724,,千葉市稲毛区長沼原町４３０－２９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 萩台第２公園,ハギダイダイ２コウエン,,,,140.119003,35.641886,,千葉市稲毛区萩台町６９６－６２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小仲台南第２公園,コナカダイミナミダイ２コウエン,,,,140.095409,35.635893,,千葉市稲毛区小仲台１丁目１０７６－７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 干場公園,ホシバコウエン,,,,140.097417,35.653146,,千葉市稲毛区宮野木町９８４－１０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 轟町児童公園,トドロキチョウジドウコウエン,,,,140.105303,35.630599,,千葉市稲毛区轟町２丁目４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 作草部南公園,サクサベミナミコウエン,,,,140.116197,35.624994,,千葉市稲毛区作草部町１３７４－４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲毛東６丁目第２公園,イナゲヒガシ６チョウメダイ２コウエン,,,,140.086213,35.645421,,千葉市稲毛区稲毛東６丁目１６７０－１４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 三京公園,サンキョウコウエン,,,,140.116788,35.638872,,千葉市稲毛区天台５丁目１０８－９２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 川岸公園,カワギシコウエン,,,,140.080391,35.638479,,千葉市稲毛区稲毛２丁目７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 えごだ西公園,エゴダニシコウエン,,,,140.083633,35.649451,,千葉市稲毛区稲毛町４丁目３４６－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小はざま公園,コハザマコウエン,,,,140.089645,35.644971,,千葉市稲毛区小仲台８丁目２０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 緑町２丁目公園,ミドリチョウ２チョウメコウエン,,,,140.095261,35.622525,,千葉市稲毛区緑町２丁目８－９他,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 長沼公園,ナガヌマコウエン,,,,140.11301,35.657689,,千葉市稲毛区長沼町１７３－１０１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 穴川２丁目公園,アナガワ２チョウメコウエン,,,,140.106888,35.633293,,千葉市稲毛区穴川２丁目３１３－２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮野木東公園,ミヤノギヒガシコウエン,,,,140.106013,35.654163,,千葉市稲毛区宮野木町１６５５－１４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 長沼原第３公園,ナガヌマハラダイ３コウエン,,,,140.127378,35.661801,,千葉市稲毛区長沼原町７０４－２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 長沼原第２公園,ナガヌマハラダイ２コウエン,,,,140.133174,35.668898,,千葉市稲毛区長沼原町９４２－１８８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 しずかが丘公園,シズカガオカコウエン,,,,140.109027,35.662295,,千葉市稲毛区宮野木町１９６０－１０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生ケ丘第２公園,ソンノウガオカダイ２コウエン,,,,140.112618,35.64531,,千葉市稲毛区園生町５２１－５６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲毛東第１公園,イナゲヒガシダイ１コウエン,,,,140.087167,35.643409,,千葉市稲毛区稲毛東６丁目１４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 萩台北第２公園,ハギダイキタダイ２コウエン,,,,140.123518,35.646198,,千葉市稲毛区萩台町５０７－２３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小中台牛尾升公園,コナカダイウシオマスコウエン,,,,140.094224,35.65153,,千葉市稲毛区小中台町１７７２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 萩台公園,ハギダイコウエン,,,,140.118711,35.642261,,千葉市稲毛区萩台町６２８－２２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲毛台公園,イナゲダイコウエン,,,,140.091161,35.633722,,千葉市稲毛区稲毛台町２６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲毛３丁目公園,イナゲ３チョウメコウエン,,,,140.082417,35.639013,,千葉市稲毛区稲毛３丁目８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮野木境公園,ミヤノギサカイコウエン,,,,140.111373,35.658475,,千葉市稲毛区長沼町１６６－５０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生下田公園,ソンノウシモダコウエン,,,,140.107586,35.64729,,千葉市稲毛区園生町７５６－５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲毛台第３公園,イナゲダイダイ３コウエン,,,,140.092365,35.63331,,千葉市稲毛区稲毛台町３０６－４８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮長公園,ミヤナガコウエン,,,,140.112174,35.659919,,千葉市稲毛区長沼町１６３－２７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 長沼第２公園,ナガヌマダイ２コウエン,,,,140.113887,35.655457,,千葉市稲毛区長沼町２５３－６７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲毛東１丁目公園,イナゲヒガシ１チョウメコウエン,,,,140.090999,35.633015,,千葉市稲毛区稲毛東１丁目３９－４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 黒砂３丁目公園,クロスナ３チョウメコウエン,,,,140.092504,35.629665,,千葉市稲毛区黒砂３丁目１３３－７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮野木北第３公園,ミヤノギキタダイ３コウエン,,,,140.104745,35.658558,,千葉市稲毛区宮野木町１８２０－８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生三和公園,ソンノウサンワコウエン,,,,140.098426,35.648506,,千葉市稲毛区園生町６７－３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生第３公園,ソンノウダイ３コウエン,,,,140.122314,35.657727,,千葉市稲毛区園生町３９７－８４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 川又公園,カワマタコウエン,,,,140.088705,35.645576,,千葉市稲毛区小仲台８丁目１９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 あらく公園,アラクコウエン,,,,140.114165,35.659007,,千葉市稲毛区長沼町１８９－３９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 王原公園,オウハラコウエン,,,,140.133241,35.665848,,千葉市稲毛区山王町２３９－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小坂公園,コサカコウエン,,,,140.093752,35.642889,,千葉市稲毛区小仲台７丁目３２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小深第２公園,コブケダイ２コウエン,,,,140.151564,35.670633,,千葉市稲毛区小深町６０２－１２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 中宮公園,ナカミヤコウエン,,,,140.093376,35.643679,,千葉市稲毛区小仲台８丁目３０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 中丸公園,ナカマルコウエン,,,,140.096844,35.643866,,千葉市稲毛区小仲台９丁目１１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮原第２公園,ミヤハラダイ２コウエン,,,,140.095777,35.654851,,千葉市稲毛区宮野木町６５６－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 草野公園,クサノコウエン,,,,140.124483,35.656436,,千葉市稲毛区園生町４００－７７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 轟町５丁目公園,トドロキチョウ５チョウメコウエン,,,,140.111779,35.632749,,千葉市稲毛区轟町５丁目８２－８９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 轟町４丁目公園,トドロキチョウ４チョウメコウエン,,,,140.112943,35.627826,,千葉市稲毛区轟町４丁目５－１０１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生第４公園,ソンノウダイ４コウエン,,,,140.102173,35.642044,,千葉市稲毛区園生町１１２８－３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 長沼屋敷公園,ナガヌマヤシキコウエン,,,,140.122145,35.661593,,千葉市稲毛区長沼町１２２－９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生西公園,ソンノウニシコウエン,,,,140.111109,35.65053,,千葉市稲毛区園生町３４２－６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 山和公園,サンワコウエン,,,,140.145469,35.667636,,千葉市稲毛区山王町８０－７４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小中台西第３公園,コナカダイニシダイ３コウエン,,,,140.086694,35.649815,,千葉市稲毛区小中台町１５１３－５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 有楽公園,ユウラクコウエン,,,,140.095277,35.645101,,千葉市稲毛区小仲台９丁目１８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 東宮野木第３公園,ヒガシミヤノギダイ３コウエン,,,,140.112261,35.655729,,千葉市稲毛区長沼町２５７－５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮原第３公園,ミヤハラダイ３コウエン,,,,140.096901,35.654138,,千葉市稲毛区宮野木町８１８－２２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 東宮野木第４公園,ヒガシミヤノギダイ４コウエン,,,,140.112817,35.655396,,千葉市稲毛区長沼町２５４－３７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 千葉道公園,チバミチコウエン,,,,140.121659,35.659863,,千葉市稲毛区長沼町３４５－３３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 聖公園,ヒジリコウエン,,,,140.152618,35.655243,,千葉市稲毛区小深町９０－７２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 長沼第５公園,ナガヌマダイ５コウエン,,,,140.11574,35.656787,,千葉市稲毛区長沼町２４８－６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 山王公園,サンノウコウエン,,,,140.147892,35.666105,,千葉市稲毛区山王町１１－５９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮野木大橋第１公園,ミヤノギオオハシダイ１コウエン,,,,140.107934,35.658498,,千葉市稲毛区宮野木町１７９３－１２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲毛台第２公園,イナゲダイダイ２コウエン,,,,140.091936,35.634116,,千葉市稲毛区稲毛台町３１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小深新田公園,コブケシンデンコウエン,,,,140.152497,35.660166,,千葉市稲毛区小深町２６７－６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲毛東1丁目第２公園,イナゲヒガシ１チョウメダイ２コウエン,,,,140.090852,35.633227,,千葉市稲毛区稲毛東１丁目３８－５６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 作草部南第２公園,サクサベミナミダイ２コウエン,,,,140.116999,35.624354,,千葉市稲毛区作草部町６０１－５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 長沼緑が丘公園,ナガヌマミドリガオカコウエン,,,,140.114839,35.662889,,千葉市稲毛区長沼町１４５－６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 いなげの丘第２公園,イナゲノオカダイ２コウエン,,,,140.091706,35.647019,,千葉市稲毛区小中台町６５５－１９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮原第４公園,ミヤハラダイ４コウエン,,,,140.096692,35.654335,,千葉市稲毛区宮野木町８１５－８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生勝田公園,ソンノウカツタコウエン,,,,140.111164,35.644991,,千葉市稲毛区園生町４８７－５１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生の丘公園,ｿﾝﾉｳﾉｵｶｺｳｴﾝ,,,,140.107406,35.642678,,千葉市稲毛区園生町９７１－２１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 さくさべ東の丘公園,ｻｸｻﾍﾞﾋｶﾞｼﾉｵｶｺｳｴﾝ,,,,140.12162,35.626482,,千葉市稲毛区作草部町５５９－３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 長沼やまぼうし公園,ﾅｶﾞﾇﾏﾔﾏﾎﾞｳｼｺｳｴﾝ,,,,140.114521,35.661714,,千葉市稲毛区長沼町１５１－６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生坪ノ内公園,ソンノウツボノウチコウエン,,,,140.104015,35.647129,,千葉市稲毛区園生町６１２番７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小深東公園,コブケヒガシコウエン,,,,140.155358,35.655573,,千葉市稲毛区小深町７１番４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 長沼屋敷第２公園,ナガヌマヤシキダイ２コウエン,,,,140.120442,35.667533,,千葉市稲毛区長沼町２５番６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小深ゆかり野公園,コブケユカリノコウエン,,,,140.15123,35.656516,,千葉市稲毛区小深町９０－１７８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲毛町５丁目にこにこ公園,イナゲチョウ５チョウメニコニココウエン,,,,140.082028,35.646759,,千葉市稲毛区稲毛町５丁目４２１－１他,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生みどりが丘公園,ソンノウミドリガオカコウエン,,,,140.105138,35.646756,,千葉市稲毛区園生町７０５－５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生南第２公園,ソンノウミナミダイ２コウエン,,,,140.110103,35.641003,,千葉市稲毛区園生町１００２－１３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲毛東公園,イナゲヒガシコウエン,,,,140.087091,35.641317,,千葉市稲毛区稲毛東５丁目８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 西千葉公園,ニシチバコウエン,,,,140.099716,35.627421,,千葉市稲毛区黒砂台３丁目１,,,043-251-5103,,ＪＲ「西千葉駅」より徒歩８分,,,,,,,,,,,,,,,,
千葉市 山王ふれあい公園,サンノウフレアイコウエン,,,,140.137715,35.663854,,千葉市稲毛区山王町１８２－１他,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小中台西公園,コナカダイニシコウエン,,,,140.091715,35.652337,,千葉市稲毛区小中台町４００－１他,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 つどい公園,ツドイコウエン,,,,140.09811,35.634023,,千葉市稲毛区小仲台１丁目１０８１－２８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮の杜こぶし公園,ミヤノモリコブシコウエン,,,,140.111487,35.661558,,千葉市稲毛区長沼町１５６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 黒砂あおぞら公園,クロスナアオゾラコウエン,,,,140.094077,35.626229,,千葉市稲毛区黒砂２丁目５４１－１他,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 常盤公園,トキワコウエン,,,,140.076747,35.639779,,千葉市稲毛区稲毛町５丁目,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲毛東６丁目公園,イナゲヒガシ６チョウメコウエン,,,,140.088176,35.642742,,千葉市稲毛区稲毛東６丁目１３９３－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 轟町幼児遊園,トドロキチョウヨウジユウエン,,,,140.106507,35.629322,,千葉市稲毛区轟町２丁目５５－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小鳩公園,コバトコウエン,,,,140.093742,35.644539,,千葉市稲毛区小仲台８丁目２４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲丘緑地,イナオカリョクチ,,,,140.085234,35.632613,,千葉市稲毛区稲丘町３４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小仲台６丁目緑地,コナカダイロクチョウメリョクチ,,,,140.095905,35.642591,,千葉市稲毛区小仲台６丁目３０番地先,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 緑町緑地,ミドリチョウリョクチ,,,,140.095219,35.621912,,千葉市稲毛区緑町２丁目,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 園生の森公園,ソンノウノモリコウエン,,,,140.11253,35.647576,,千葉市稲毛区園生町５２０－１他,,,043-245-5775,,,,,,,,,,,,,,,,,,
千葉市 園生市民の森,ソンノウシミンノモリ,,,,140.111482,35.646607,,千葉市稲毛区園生町５１２－１他,,,043-245-5776,,,,,,,,,,,,,,,,,,
千葉市 黒砂台ながぐつ緑地,クロスナダイナガグツリョクチ,,,,140.098131,35.631672,,千葉市稲毛区黒砂台３丁目１８２－２２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 山王防風林第１緑地,サンノウボウフウリンダイ１リョクチ,,,,140.14274,35.659179,,千葉市稲毛区山王町３６７－１他,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　大森町公園,オオモリチョウコウエン,,,,140.149338,35.5780611,,千葉市中央区大森町３５７－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　中田池緑地,ナカタイケリョクチ,,,,140.155606,35.5912419,,千葉市中央区仁戸名町３５０－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　仁戸名第５公園,ニトナダイ５コウエン,,,,140.166882,35.5762516,,千葉市仁戸名町７２０－１２１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　萩台あおぞら公園,ハギダイアオゾラコウエン,,,,140.119258,35.6384916,,千葉市稲毛区萩台町４２番４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　萩台第３公園,ハギダイダイ３コウエン,,,,140.120643,35.6389799,,千葉市稲毛区萩台５５－１１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　浜野第４公園,ハマノチョウダイ４コウエン,,,,140.136726,35.5587903,,千葉市中央区浜野町１３１５番１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 稲毛３丁目公園,イナゲサンチョウメコウエン,,,,140.082417,35.6390127,,千葉市稲毛区稲毛３丁目１５５１－２３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　川崎さくら広場公園,カワサキサクラヒロバコウエン,,,,140.123576,35.5816945,,千葉市中央区川崎町７１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　川崎鉄なべ広場公園,カワサキテツナベヒロバコウエン,,,,140.121539,35.585217,,千葉市中央区川崎町７０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　新宿２丁目街園,シンジュク２チョウメガイエン,,,,140.118036,35.6063148,,千葉市中央区新宿２丁目７番２６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　園生勝田第２公園,ソンノウカツタダイ２コウエン,,,,140.109541,35.6463856,,千葉市稲毛区園生町５１０番６６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　園生谷津公園,ソンノウヤツコウエン,,,,140.105844,35.6496375,,千葉市稲毛区園生町２６７番１２外,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　星久喜第３公園,ホシクキダイ３コウエン,,,,140.151524,35.5932959,,千葉市中央区星久喜７１７番１２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　星久喜緑地,ホシクキリョクチ,,,,140.147169,35.6023948,,千葉市中央区星久喜町９６９－１外,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　南町１丁目公園,ミナミチョウ１チョウメコウエン,,,,140.129869,35.5857806,,千葉市中央区南町１丁目１番７号,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　宮崎そよかぜ公園,ミヤザキソヨカゼコウエン,,,,140.145951,35.5849952,,千葉市中央区宮崎町７７０番３６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　宮崎みはらし台第１緑地,ミヤザキミハラシダイダイ１リョクチ,,,,140.145296,35.5844106,,千葉市中央区宮崎町７７０番３８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　宮崎みはらし台第２緑地,ミヤザキミハラシダイダイ２リョクチ,,,,140.146438,35.5856626,,千葉市中央区宮崎町７７０番３７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市　宮野木中央公園,ミヤノギチュウオウコウエン,,,,140.107382,35.6623138,,千葉市稲毛区宮野木町２１５１番１他,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 さつきが丘西公園,サツキガオカニシコウエン,,,,140.092465,35.667129,,千葉市花見川区さつきが丘２丁目３１,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 にれの木台公園,ニレノキダイコウエン,,,,140.085617,35.65727,,千葉市花見川区朝日ヶ丘２丁目４５５－１４,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 幕張町５丁目公園,マクハリチョウ５チョウメコウエン,,,,140.054356,35.65354,,千葉市花見川区幕張町５丁目４１７－２５８,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 花見公園,ハナミコウエン,,,,140.040254,35.666406,,千葉市花見川区幕張本郷２丁目２５－１,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 横戸南公園,ヨコドミナミコウエン,,,,140.112354,35.69569,,千葉市花見川区横戸台２３,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 むくどり公園,ムクドリコウエン,,,,140.069793,35.667996,,千葉市花見川区瑞穂１丁目２２,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 磯部新田公園,イソベシンデンコウエン,,,,140.060353,35.65152,,千葉市花見川区幕張町５丁目３９０－２,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 幕張公園,マクハリコウエン,,,,140.052041,35.657918,,千葉市花見川区幕張町５丁目５４４－１２,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 浜竹公園,ハマタケコウエン,,,,140.070594,35.650091,,千葉市花見川区検見川町３丁目３０６,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 花園公園,ハナゾノコウエン,,,,140.07191,35.653965,,千葉市花見川区花園２丁目１１,,,043-286-8740,,,,,,,,,,,,,,,,,,
千葉市 長作台第３公園,ナガサクダイダイ３コウエン,,,,140.087356,35.687306,,千葉市花見川区作新台６丁目７,,,043-286-8740,,,,,,,,,,,,,,,,,,
